Ngày hạch toán,Ngày chứng từ,Số chứng từ,Mã khách hàng,Tên khách hàng,Diễn giải chung,Mã hàng,Tên hàng,Đơn vị chính (ĐVC), Tổng SL bán theo ĐVC , Tổng SL trả lại theo ĐVC ,Mã nhân viên bán hàng,Tên nhân viên bán hàng,Chức danh,Người liên hệ,VTHH_CON,Tên nhóm VTHH,PHÂN_LOẠI_KH,Trường mở rộng chi tiết 2,HÀNG_TẶNG,MÃ_RIÊNG, SL_RIÊNG_TL , SL_TL_NHÓM , SL_L_B2C ,SL_L_B2B,SL_HDN,DIEM_HDN,THANG_XU_LY,NPP,MA_HOP _LE,TINH_TRANG_HDN,NHÓM-CHUNG,KHU_VUC,SL_HDN_K0_MA_RIENG
1/1/2026,1/1/2026,BH40926,MD.2BT.QUYNHHUONG,Cửa Hàng  VTNN Quỳnh Hương,Đơn hàng bán cho Cửa hàng VTNN Kim Phượng chuyển từ kim phượng qua,SMH.K25.B.LH.2015GPRVSC,Phân bón NPK 20.20.15 Xanh Preme LH 25kg,kg,"1,000.000 ",0.000 ,NV011,Hứa Xuân Tiến,,HDN,BG_PR,BON_GOC_H,KOTE,,,,  ,  0.5 ,  0.50 ,0,1,  60 ,1,,BG_PR,,SMART 60,,  1 
1/1/2026,1/1/2026,BTL01027,MD.2BT.KIMPHUONG,Cửa hàng VTNN Kim Phượng,điều chuyển qua đl quỳnh hương,SMH.K25.B.LH.2015GPRVSC,Phân bón NPK 20.20.15 Xanh Preme LH 25kg,kg,0.000 ,"1,000.000 ",NV011,Hứa Xuân Tiến,TRICH,HDN,BG_PR,BON_GOC_H,,,,,  ,  (0.5),  (0.50),0,-1,  (60),1,,BG_PR,,SMART 60,,  (1)
1/2/2026,1/2/2026,BH40780,MB.1BG.BACGIANG,CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng),"Bán hàng CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng) - cont CAAU2891547, CAAU2708385, CAAU2728150, SEGU3453925, TIIU2717248 (264VL)",ZHF.K20.B.912HK,Phân chim biển (Organic Max Hàn Quốc) 20kg,kg,"100,800.000 ",0.000 ,RM023,Bùi Cao Cường,KO,,CLCN_ORI,CLCN,PPN.K,,,912,  ,  ,  -   ,100800,,  -   ,1,PP,CLCN_ORI,KO,PRIME 200,MB,
1/2/2026,1/2/2026,BH40780,MB.1BG.BACGIANG,CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng),"Bán hàng CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng) - cont CAAU2891547, CAAU2708385, CAAU2728150, SEGU3453925, TIIU2717248 (264VL)",VCTP,Cước vận chuyển thành phẩm,Tấn,"100,800.000 ",0.000 ,RM023,Bùi Cao Cường,,,,,,,,,  ,  ,  -   ,0,,  -   ,1,,,,,MB,  
1/2/2026,1/2/2026,BH40780,MB.1BG.BACGIANG,CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng),"Bán hàng CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng) - cont CAAU2891547, CAAU2708385, CAAU2728150, SEGU3453925, TIIU2717248 (264VL)",VCTP,Cước vận chuyển thành phẩm,Tấn,1.000 ,0.000 ,RM023,Bùi Cao Cường,,,,,,,,,  ,  ,  -   ,0,,  -   ,1,,,,,MB,  
1/2/2026,1/2/2026,BH40782,MB.1BG.BACGIANG,CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng),"Bán hàng CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng) - cont SEKU1739637, TIIU2915161, HPCU2849862, HPCU2836870, SEKU1577264 (266VL)",ZHF.K20.B.912HK,Phân chim biển (Organic Max Hàn Quốc) 20kg,kg,"100,800.000 ",0.000 ,RM023,Bùi Cao Cường,KO,,CLCN_ORI,CLCN,PPN.K,,,912,  ,  ,  -   ,100800,,  -   ,1,PP,CLCN_ORI,KO,PRIME 200,MB,
1/2/2026,1/2/2026,BH40782,MB.1BG.BACGIANG,CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng),"Bán hàng CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng) - cont SEKU1739637, TIIU2915161, HPCU2849862, HPCU2836870, SEKU1577264 (266VL)",VCTP,Cước vận chuyển thành phẩm,Tấn,"100,800.000 ",0.000 ,RM023,Bùi Cao Cường,,,,,,,,,  ,  ,  -   ,0,,  -   ,1,,,,,MB,  
1/2/2026,1/2/2026,BH40782,MB.1BG.BACGIANG,CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng),"Bán hàng CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng) - cont SEKU1739637, TIIU2915161, HPCU2849862, HPCU2836870, SEKU1577264 (266VL)",VCTP,Cước vận chuyển thành phẩm,Tấn,1.000 ,0.000 ,RM023,Bùi Cao Cường,,,,,,,,,  ,  ,  -   ,0,,  -   ,1,,,,,MB,  
1/2/2026,1/2/2026,BH40783,MB.1BG.BACGIANG,CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng),"Bán hàng CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng) - cont TEMU4831409, TIIU2512823, HPCU2838913, SITU2490368, SITU2756822 (267VL)",ZHF.K20.B.912HK,Phân chim biển (Organic Max Hàn Quốc) 20kg,kg,"60,480.000 ",0.000 ,RM023,Bùi Cao Cường,KO,,CLCN_ORI,CLCN,PPN.K,,,912,  ,  ,  -   ,60480,,  -   ,1,PP,CLCN_ORI,KO,PRIME 200,MB,
1/2/2026,1/2/2026,BH40783,MB.1BG.BACGIANG,CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng),"Bán hàng CÔNG TY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BẮC GIANG (kéo tại cảng) - cont TEMU4831409, TIIU2512823, HPCU2838913, SITU2490368, SITU2756822 (267VL)",ZHF.K20.B.NP.912HK,Phân chim biển (Organic Max) bao NP 20Kg,kg,"40,320.000 ",0.000 ,RM023,Bùi Cao Cường,KO,,CLCN_ORI,CLCN,PPN.K,,,912,  ,  ,  -   ,40320,,  -   ,1,PP,CLCN_ORI,KO,PRIME 200,MB,
